msno,song_id,source_system_tab,source_screen_name,source_type,target
N7ic3jaWfjCfxNnKKpowRd7TsFJCzSreUEmYkvNTEJg=,PiF7hl2CEFM8dds1gN0JkiXetujyKnI2JTYREAn/Plw=,my library,Local playlist more,local-library,0
I/7+xxfzq0QxusuZpOFnNMFcOCsyJJn4poN0BzviUxA=,MbUrDuSZUHl97oQwk/GxAC+AIOxQd0wMpeBI4BU4PT8=,my library,Local playlist more,local-library,0
W1kd1SF8NJWGLE3nkqNG0ZfCOwk/+TbdLtkbJkYV0bk=,x0AQuGp6SHvaD/fLkk+6JzAp6zOUgd30Tx4oL3YBz5Y=,discover,Discover Chart,online-playlist,1
P02n5jwUaew8f2s+9VFHtx0Bnzh0arcAG/G5TP6ULIY=,+SstqMwhQPBQFTPBhLKPT642IiBDXzZFwlzsLl4cGXo=,discover,Online playlist more,online-playlist,1
NmTRRLkmA+wM6xrQYS7g+QJ4ay4EF7EVHGW1KfIFDSo=,4MisMKfKs26kWvzPwqJMnqqoeNfOlsfiiFswvWIQOUI=,discover,Online playlist more,online-playlist,0
v3nM0fWVePStSJH/i6kcTc7QysG6z3DdecgYtbzeeqA=,aNX1pG05HuUlyb1P44hm1x1AFhtaVLQ8eJOsUl4jX6w=,my library,Local playlist more,local-library,1
vOeGCSO7doMcmfPX8XCavfK4fhEfG89tRTts0WhUiiI=,bv8cPcRcYLf33G0xbcB5EQjcQXfUu2NbkrSwJvASgxg=,explore,Online playlist more,topic-article-playlist,0
ONuVetVO2vCpFtieb5KfdBZDlX+n8AKe4KLIR6QdvTI=,kBAJcnQ60tymSP17qGf4s/6pL5sGFvecaLbWQyMEHek=,search,Album more,album,0
7fZu7CyedwQhYEFctQiXZ6HtyPcZyNu3oSGhPdQgW8E=,agGR8vgxkb16CHKHSB3X0AojD17gek1DCtKNdCNkrnc=,discover,Online playlist more,online-playlist,0
eZtZ6C/NVcHE/jSE0zPPH0Ey0s6rzcHtwnWhpm18x0I=,3YFJNODi3zUy4qTS8mEjzMO3xFmgjmVXoU2/L02K8iA=,my library,Local playlist more,local-library,1
8S5SH6PycNC0O4Xw6mkTFHylVD609X5TfHy0uTlYOjY=,snxG0u6Opzrqttfgdsj6297r0pA9hcUheJCoI4vafp4=,my library,Local playlist more,local-library,0
jwfhrA5cNa2eT58seDgFxk0JMsGXdHh4HtGJ6KN0bK0=,1/6zP3ufTjnx2EI+x2TwBTFFFXYS81/rWKJpYEj0WV4=,my library,Album more,album,1
u0RIrtOfwv7celD9FULFyk+WAzd1agmviC6h4+TVGqY=,9Xxvd9J4SpEakcmoYTvt+ekTW15btrc+DKumBSTJZU0=,discover,Online playlist more,online-playlist,1
hHlelPEvBTk5R8aAINP+Ss5P6SDFo1eBl63Cv1c5jwk=,NiB1rjgfCjp1wsvM5tpOYuT1sA9no8wfDqwE8SSbIhI=,search,Search,song,0
e0P0xErGEtJf+gjnpUsYoweCuI/KogvLiJ+n4VLxUcQ=,96/kcV3grOwsUat72s1DVKHYJBfA6fp1TPrP4NOhLSo=,discover,Online playlist more,online-playlist,0
zmHPReDU2yxtqElxWNm9Rd9tQ/+yJOGKhDjnvK9ebp8=,HijjTJPE28aMZ19+/84C5uMjaL+gGdJYmZMr+sHuQT0=,discover,Online playlist more,online-playlist,0
VtlQxcWYozDmNZPEiam4mDRdsUDDjKNChliXwZxCX4o=,lZINgCGFjqzcGUliQEbEXtfpnbLTkxjxav77pkhd7lA=,my library,Local playlist more,local-library,1
SyjIF0jiR6LetsEF7CEx48L/Prf6wRkugjYy6v02Stg=,A0t3F/l/3A5UvyPnNQNkrwJuW4vH7f/ttZZ9ud7eWx8=,my library,Local playlist more,local-playlist,1
lEz6TZrXs28UPHUBNHPVR3bXRKpoJ0krWbQKQTS0h3w=,14hLmlYzFripXU8dHgrLtspaQOs1caRUtFV8P+/r9iw=,search,Online playlist more,online-playlist,1
FWS6y04mvOvmjBGeoCCJPGh/4r9/6R0Hc+B0CtMqmC4=,opfHqJ0Oz4KsSqM5/TqBERkLI9DFnMD0Jywzh7XSE6Y=,my library,Local playlist more,local-library,1
w0hjgMCrTjpzOsldfOuVfegKS4fx80BkO/6h162oOvE=,jkL7wLqdqv1/+4Hm/R3jFSUH6b8momZh73a2a/FWGic=,radio,Radio,radio,1
mPd9M2+bDkOvX2QgcKam6Ed1d8zXS9TpLExWcC6XCnU=,ucAsZ2NApZcvzFyhH1himmmRjDJZivc9n2SIX5S/KWs=,discover,Album more,album,1
0wVAMd8n3FbinwrZf1fE3dhyk17HiOm2MNaUIjKEMvA=,0u5diiI/25AqwBAAfmwWKBfTLkS2+NHaYcROpdptSwA=,search,Search,song,1
I6BWuX+5GHb/f6O+y9Bt97A9KrX4hzn6Tj4Ga8jz/xM=,voTXRxASIKEs/R4+7kGA4P4MtGTL2b8GkVVfD1kyRyw=,my library,Local playlist more,local-library,1
qHG8kmYkEeX40+wnMLI20gEECevNJ5WzlODCAOHHqaI=,8EdECvVretxSqnhGUYVAZd3g3DH5l47NRq1eYSP3TRo=,my library,Local playlist more,local-library,0
PLLlUl6DuDKB4gz/SReLGJJUZBWKOEK6vifwVlnkIBQ=,+Sm75wnBf/sjm/QMUAFx8N+Ae04kWCXGlgH50tTeM6c=,search,Search,song,0
ppgdktSB0IXmKTbBFfIckiot4Wi5i8q1D+Nc9uZPSTc=,HlDqTqryhj7F+2LHT95z1JusVZuLRoNoZu4kY1t0Yac=,discover,Online playlist more,online-playlist,0
L7adblTHvIzt1T6KxY1AXJra4CS+l8xHHNwUZ+UQfy8=,AJQOsWR+d8TYfx8K3IngAs9/GSQE5ujDqBx/8PYm6zo=,discover,Online playlist more,online-playlist,0
+boPBM5G5+vAfbO6zTy7A2FrVQyl91aBPGHkQ6ciNYc=,DlAQf3mD3j4xyAD7bXsWbGhw/pBJ/c0t0aGYXzwAUUI=,my library,Local playlist more,local-playlist,1
RpF2jQAuXXVaP8FB2rV/pQ2jmAYJrcFxt+6d8Fi6hRA=,xxWLfkIEeQAeJD4tFLoqDvrDFoS1PGb5+NT3BepHr/s=,my library,Album more,album,0
7xiBI5xU3P2/IiR9teB7jySfzWo96JGikGajteLd3Cs=,Lei+J7cMMTZ/9Hqei1i5RXmxKzcHmN+34Rt94dt2Qao=,radio,Radio,radio,1
aW5wmYfRiSfTW1/beDZ7X9AqI4akX/5k+qVH+aFpQOU=,3f0Wlv5DSdOLfMlAmkwFDNYvX1lRd7KryObLttdPwtc=,search,Search Home,online-playlist,1
zGCW1E8ZJXXdegDttRajOUm626FY1GmnrqJR3gVAK58=,9YYrODwrXpDcCjOJypHROv3f5z40y11QlmgQjmzp2vQ=,discover,Online playlist more,online-playlist,1
+0B4aHABar5ltaWDG4M6KCzNxpD6wnsvZpvh+o9KgtE=,5myS1WHBGGzoGGXLLGo/tIuHzWsyp0Ez0NoLWKdkA9Y=,discover,Online playlist more,online-playlist,0
HnEOu8bAfun2jxfuxbfpxxFPaduB/SRxepPSSr966gw=,b+PzYLZ1kTLtCF9G5KJDs1vymuMPGH1f3KQTjTmhwik=,discover,Online playlist more,song-based-playlist,0
