song_id,song_length,genre_ids,artist_name,composer,lyricist,language
PiF7hl2CEFM8dds1gN0JkiXetujyKnI2JTYREAn/Plw=,233314.0,1609,Flume,Flume,,52.0
MbUrDuSZUHl97oQwk/GxAC+AIOxQd0wMpeBI4BU4PT8=,312450.0,465,那英,Hsu Kuang-Yi,Hsu Kuang-Yi,3.0
x0AQuGp6SHvaD/fLkk+6JzAp6zOUgd30Tx4oL3YBz5Y=,251088.0,1609,Clean Bandit,Jack Patterson| Steve Mac| Ammar Malik| Ina Wroldsen| Sean Paul Henriques,,52.0
+SstqMwhQPBQFTPBhLKPT642IiBDXzZFwlzsLl4cGXo=,283846.0,465,陳勢安 (Andrew Tan),覃嘉健,馬嵩惟,3.0
4MisMKfKs26kWvzPwqJMnqqoeNfOlsfiiFswvWIQOUI=,228937.0,444|1259,BIGBANG,TEDDY| G-DRAGON| CHOICE37,TEDDY| G-DRAGON| T.O.P,31.0
aNX1pG05HuUlyb1P44hm1x1AFhtaVLQ8eJOsUl4jX6w=,279405.0,465,棒棒堂 (Lollipop),,,3.0
bv8cPcRcYLf33G0xbcB5EQjcQXfUu2NbkrSwJvASgxg=,273252.0,458,伍佰 & China Blue,Bai Wu,,10.0
kBAJcnQ60tymSP17qGf4s/6pL5sGFvecaLbWQyMEHek=,156688.0,2022,RADWIMPS,Akira Kuwahara,,17.0
agGR8vgxkb16CHKHSB3X0AojD17gek1DCtKNdCNkrnc=,276009.0,1609,Steve Aoki| Boehm,Steve Aoki| Alexandru Constantin Craciun| Nicholas Petricca| Anthony Maniscalco| Marc Malouf| Nicholas Furlong| Colin Cunningham,Nicholas Petricca| Nicholas Furlong| Colin Cunningham,52.0
3YFJNODi3zUy4qTS8mEjzMO3xFmgjmVXoU2/L02K8iA=,213066.0,444,BANGTAN BOYS,Kevin Moore (cover),,31.0
snxG0u6Opzrqttfgdsj6297r0pA9hcUheJCoI4vafp4=,269003.0,458,楊丞琳 (Rainie Yang),Jun Gyu Jeon,Jun Gyu Jeon,3.0
1/6zP3ufTjnx2EI+x2TwBTFFFXYS81/rWKJpYEj0WV4=,273867.0,465,Bii畢書盡+陳勢安+陳彥允+李玉璽,陳彥允,陳彥允,3.0
9Xxvd9J4SpEakcmoYTvt+ekTW15btrc+DKumBSTJZU0=,289018.0,465,孫燕姿 (Yanzi Sun),,,3.0
NiB1rjgfCjp1wsvM5tpOYuT1sA9no8wfDqwE8SSbIhI=,197090.0,465,龍飄飄,佚名,,59.0
96/kcV3grOwsUat72s1DVKHYJBfA6fp1TPrP4NOhLSo=,225985.0,465,Bruno Mars,,,52.0
HijjTJPE28aMZ19+/84C5uMjaL+gGdJYmZMr+sHuQT0=,301859.0,2022,Nirvana,Kurt Cobain| Dave Grohl| Krist Novoselic,,52.0
lZINgCGFjqzcGUliQEbEXtfpnbLTkxjxav77pkhd7lA=,271905.0,465,Secret Garden OST,,,31.0
A0t3F/l/3A5UvyPnNQNkrwJuW4vH7f/ttZZ9ud7eWx8=,185364.0,465,MAJOR LAZER,Benny Blanco| Diplo| Jr Blender| King Henry,,52.0
14hLmlYzFripXU8dHgrLtspaQOs1caRUtFV8P+/r9iw=,269688.0,465,周杰倫 (Jay Chou),周杰倫,許世昌,3.0
opfHqJ0Oz4KsSqM5/TqBERkLI9DFnMD0Jywzh7XSE6Y=,266344.0,465,FS (Fuying & Sam),劉永輝,肆一,3.0
jkL7wLqdqv1/+4Hm/R3jFSUH6b8momZh73a2a/FWGic=,262873.0,465|359,Pulp,,,52.0
ucAsZ2NApZcvzFyhH1himmmRjDJZivc9n2SIX5S/KWs=,246804.0,2157,江蕙 (Jody Jiang),鄭進一,鄭進一\陳維祥,10.0
0u5diiI/25AqwBAAfmwWKBfTLkS2+NHaYcROpdptSwA=,281835.0,465,Bruno Mars,,,52.0
voTXRxASIKEs/R4+7kGA4P4MtGTL2b8GkVVfD1kyRyw=,272718.0,465,S.H.E,宋圭璋+蘇亦承,田馥甄,3.0
8EdECvVretxSqnhGUYVAZd3g3DH5l47NRq1eYSP3TRo=,323588.0,465,Beyoncé,Noel Fisher|Beyoncé Knowles|Jerome Harmon|Shawn Carter|Andre Eric Proctor|Rasool Diaz|Brian Soko|Timothy Mosley,Noel Fisher|Beyoncé Knowles|Jerome Harmon|Shawn Carter|Andre Eric Proctor|Rasool Diaz|Brian Soko|Timothy Mosley,52.0
+Sm75wnBf/sjm/QMUAFx8N+Ae04kWCXGlgH50tTeM6c=,271255.0,465,兄弟本色G.U.T.S. (姚中仁、張震嶽、頑童MJ116),張震嶽 Ayal Komod\陳昱榕 E-SO\周文傑 KENZY\林睦淵 MUTA,張震嶽 Ayal Komod\陳昱榕 E-SO\周文傑 KENZY\林睦淵 MUTA,3.0
HlDqTqryhj7F+2LHT95z1JusVZuLRoNoZu4kY1t0Yac=,238840.0,465,莫文蔚 (Karen Mok),Karen Mok,,3.0
AJQOsWR+d8TYfx8K3IngAs9/GSQE5ujDqBx/8PYm6zo=,285600.0,458,林宥嘉 (Yoga Lin),張葉帆,黃建洲,3.0
DlAQf3mD3j4xyAD7bXsWbGhw/pBJ/c0t0aGYXzwAUUI=,207679.0,1609|2107,David Guetta,David Guetta| Frédéric Riesterer| Giorgio H. Tuinfort| Raymond IV Usher| Rico Love| Taio Cruz,,-1.0
xxWLfkIEeQAeJD4tFLoqDvrDFoS1PGb5+NT3BepHr/s=,250357.0,458,周湯豪 (NICKTHEREAL),周湯豪,周湯豪,3.0
Lei+J7cMMTZ/9Hqei1i5RXmxKzcHmN+34Rt94dt2Qao=,316116.0,465,May J.,,,17.0
3f0Wlv5DSdOLfMlAmkwFDNYvX1lRd7KryObLttdPwtc=,190542.0,458,張懸 (Deserts Xuan),,,3.0
9YYrODwrXpDcCjOJypHROv3f5z40y11QlmgQjmzp2vQ=,183379.0,1616|1609,Mike Perry,Mikael Persson| Sara Hjellström| Dimitri Vangelis| Nirob Islam| Andreas Wiman,Mikael Persson| Sara Hjellström| Nirob Islam,52.0
5myS1WHBGGzoGGXLLGo/tIuHzWsyp0Ez0NoLWKdkA9Y=,264254.0,465,BIGBANG,G-DRAGON/P.K/DEE.P,G-DRAGON,31.0
b+PzYLZ1kTLtCF9G5KJDs1vymuMPGH1f3KQTjTmhwik=,174847.0,444,Various Artists,Eui Suk Kim|Daisuke Shinoda,,31.0
qcL0etX8C811Zy0yaCO8op4ASXLJqLIMVp4qsmSE68o=,286093.0,451,陳奕迅 (Eason Chan),C.Y.Kong,,24.0
gOXfOa7zEH+aeT8XtGWkU8ubLUfYPJNhX4jHL19FEw0=,222066.0,465,黃靖倫 (Jing Wong),Wu Jia Hui,Guan Qi Yuan| Lee Xin Yi,3.0
khJferAXL1Jo7NpEXfLc/ai6adXyF8CuBO7luzAay0s=,202483.0,458,楊凱琳 (Rosie),Schoorl| Louis/ WARNER| HAYLEY,Schoorl| Louis/ WARNER| HAYLEY,3.0
750RprmFfLV0bymtDH88g24pLZGVi5VpBAI300P6UOA=,258298.0,465,兄弟本色G.U.T.S. (姚中仁、張震嶽、頑童MJ116),姚中仁 MC HotDog 陳昱榕 Ｅ-SO 周文傑 KENZY 林睦淵,姚中仁 MC HotDog 陳昱榕 Ｅ-SO 周文傑 KENZY 林睦淵,3.0
U9kojfZSKaiWOW94PKh1Riyv/zUWxmBRmv0XInQWLGw=,290063.0,458,周杰倫 (Jay Chou),周杰倫,方文山,3.0
e/upMhPFcXl3Rxq0Us1abr0FcThlZOeqKJhBobmltBU=,233717.0,465,Ed Sheeran,Ed Sheeran| Steve Mac| Johnny McDaid| Kandi Burruss| Kevin Briggs| Tameka Cottle,,52.0
mNW8RSazt1QOCa2fCvRPSvKrtWMJ/OzMOKmI5RtROx8=,204614.0,359,Sum 41,,,52.0
FynUyq0+drmIARmK1JZ/qcjNZ7DKkqTY6/0O0lTzNUI=,287328.0,458,Eric 周興哲,Eric Chou,Eric Chou| Yi-Wei Wu,3.0
XgLDH2I0dmKXQNQTMsNyGSy5oz+o6o6jPTqj0I8abFY=,215522.0,465,P!nk,P!nk| Max Martin| Shellback| Oscar Holter,P!nk| Max Martin| Shellback| Oscar Holter,52.0
reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,219324.0,458,周湯豪 (NICKTHEREAL),周湯豪,周湯豪\崔惟楷,3.0
QUrWWEuqMm2gk7Psw4K52GaWMs5+DaU7qeCc2UXyozo=,271905.0,2122,Kenny G,,,-1.0
6dcf5tF0yAHnvImMTy3/TvyKEo0VfnCiV2onEwB6EdM=,242729.0,465,川島茉樹代 (Makiyo),,,3.0
XKBSWZp0ZEYpnEZIo0mR2GiAQ0fERhxdP3dw8VCxWVo=,224235.0,465,貴族精選,Peter Frampton,Peter Frampton,52.0
+g6Inb6DmNXkbtdNx1Jz2ProBuS3TnkUE27g++JvWsw=,277440.0,2157,楊靜,張燕清,張燕清,10.0
gl189YpgR3OodAHMVmmEkQXC3usPmagKTnkSF1iWC88=,224339.0,458,Ladybees 蜜蜂少女隊,Rungroth Pholwa,Wanida Lompaiban\中文詞：許常德,3.0
Ot8WIXZXzvgZeZoCwcimfORgLbZJJdslmuvO1ufZB7k=,234579.0,465,韋禮安 (William Wei),韋禮安,韋禮安,3.0
3DU6F6k6dFSdoQa2tsia5spMXFCxWh4JJdA3OxSo3rM=,326243.0,458,魏如萱 (Waa Wei),Waa Wei,Waa Wei,3.0
LaZ1cLXkh5gltKboKlPkECItu6Kry5QPrUxXSkjqNyU=,239386.0,465,張震嶽,張震嶽,張震嶽,3.0
7ts/X7COBBVcfOuGYNBEnxF/NF25L56jCmkCF81KAK8=,213472.0,465,五月天 (Mayday),陳信宏,陳信宏,3.0
PS6somGcm67JCqGGSF6dmT9U/rNwlM4ijTzIk7YOpmQ=,264333.0,139,Eric Clapton/B.B. King,,,52.0
4TkPrKyrxTD3tK/OHZqprZfvp5t/UcbG6pLkZIqYk9U=,262617.0,465,D.L 羅時豐 (Daniel Lo),,,10.0
2xyj32lIiLxSjZyDtITN1INnuRoMHDqLf0/DnEFRiXY=,205113.0,359,Linkin Park,,,52.0
isW4S3tqJo5Tce1AdM19n6TG53UQkBzyLFmb2QWK/G4=,202057.0,1259,Various Artists,,,52.0
9K+br662CDlq+aK9IT/hcQ2aiibdnVnXiekmPQdGT7A=,278987.0,458,王力宏 (Leehom Wang),王力宏,王力宏、瑞業,3.0
oDG5WCyUlb9i/Sr34Fljeh0YsONZKxl+7jjUw27vm5U=,267598.0,465,田馥甄 (Hebe),張簡君偉,徐世珍/吳輝福,3.0
GbRwdtRpiAPXQXSxxxEy/8NQrIcX1VufiLC6aFq/X1c=,211858.0,444,GOT7,Jackson Wang| Boytoy,,31.0
pzG4QNzLZsAh8ym0lqIM6EAFqDxYJ6qLPvn3wtc0tog=,269270.0,465,蘇慧倫 (Tarcy Su),,,3.0
BITuBuNyXQydJcjDL2BUnCu4/IXaJg5IPOuycc/4dtY=,216930.0,458,李毓芬,吳克群,吳克群,3.0
XiVZnpyU4TtrNvfUplThrizR9FNz4ibqLdZjuL9AEHQ=,261328.0,458,郭靜 (Claire Kuo),阿超,阿超,3.0
IgMar/mVrJQ+ODFPytDf7jwQMmR09+slyZUdVylRFLc=,210364.0,465|458,林俊傑 (JJ Lin),JJ Lin,Lin Yi Feng,3.0
OrYdxT0jW/+UUMI076UtHPSGVO4/hnKAWuYXQ+45Kj8=,311797.0,465,蕭亞軒 (Elva Hsiao),,,3.0
+YNQugtm4ddYzAu5wmFYhndbUt5YBt958WB8IPOqJWQ=,253004.0,465,Rihanna,Jeff Bhasker| J. Glass| N. Fisher| Robyn Fenty,,52.0
Ms/qqKmHDWNplA2KCS2MB5qDsiwmojcTh68mmjM0Xk4=,234475.0,465,Jesse McCartney,,,52.0
5nXM8NtYMN3FCc6m5QnMxvY9NJSkx2pWMJQfd6vMfXY=,217756.0,465,G.E.M.鄧紫棋,G.E.M. 鄧紫棋,G.E.M. 鄧紫棋,3.0
iUZZgSBBNMnkraJHV6oKYyOitUDfMHUBoB8iHvCAn5g=,349100.0,465,王心凌 (Cyndi Wang),,易家揚,3.0
kSLiGubAKwE/Mjj15GsF2yv+D3U3G/uFXoN04fl3cbw=,247540.0,1609,Avicii,Tim Bergling| EGBERT NATHANIEL DAWKINS III| Michael Aaron Einziger,,52.0
gG3/58uZyyOwaPT+eGWL81mwCzcDPW2EmwYcjWmvJSs=,226742.0,465,五月天 (Mayday),阿信,阿信,3.0
2EV50iVQuX92nFsUzU2a3iKoNVN4+g2n1kabVAE2dwo=,220775.0,139,Ne-Yo,,,52.0
iGCAy9Jbo+l9wOCzdba8lcV1aQFu3ngmfiqpOJecVYU=,181022.0,242,Citizens & Saints,,,-1.0
vhQ/dbaOPFy0jHUX3LlSmADvGIfAuE51f9+GqqkfRg4=,222981.0,1259,Fort Minor,,,52.0
1UHqpOyecqH+8NytyogNdQz/2zUDpmHzUF5lgH1gvyw=,237400.0,465,Lukas Graham,,,52.0
IV8kTOBKcUoO4fINEi+VTYzr7TdyM/kin+gapgzygco=,228993.0,465,Katy Perry,Katy Perry| Max Martin| Lukasz Gottwald| Henry Walter,,52.0
sB9s1h7EXR3G3UVsr9RHmfBDBkaALymumSGBzJw2uOY=,283167.0,465,陳綺貞 (Cheer Chen),陳綺貞,吳佳穎,3.0
JRa3KgSwWDyY17usXoi6jN8O6v6t6Tq4xcwjbUkbQFQ=,329978.0,458,林宥嘉 (Yoga Lin),林宥嘉,黃偉文,3.0
9Mye00GZEfgGjypeluBMIrXFSHWR8a3p13vTNkEjlYQ=,243391.0,465,Natalie,,,52.0
22lljqoaWZeeXtHg+Mm2tu3pxp9Rq8bu3W31zYBiw60=,263424.0,465,丁噹 (Della),陳奕勤,陳沒,3.0
WJyW1Eqg3hXHl2+JB/qMSAQ/3VxqSNVvPniD/ReCo2I=,156768.0,465,四葉草 (Joyce Chu),黃明志,黃明志,3.0
CGw+WjOTI1XDKv/8vwcdyD403nDdGmHk566UxNQkcko=,192470.0,921,DAVICHI,Rocoberry,Ji Hoon|  Goo Ji An,31.0
r68WpYGT6DL3s4NTPB7bCFs5H/WJDpeR0927w4RGQY8=,223747.0,458,羅志祥 (Show Lo),Show Lo| Starr Chen,,3.0
NE5Q3WvlXbpdaHeHvnXqFEdB0CRRHTCfJVANZwdUicU=,244035.0,465,Various Artists,Bily Acoustie,Bily Acoustie| Song Hee Ran,31.0
VkDBgh89umc9m6uAEfD6LXngetyGhln4vh/ArCGO0nY=,202368.0,458,五月天 (Mayday),阿信,阿信,3.0
iDziWPWlMYqRHd0N9g/th3gtwo6uTKHaDamU1sGpvV0=,229433.0,139,Jill Scott,,,52.0
VkDBgh89umc9m6uAEfD6LXngetyGhln4vh/ArCGO0nY=,202368.0,458,五月天 (Mayday),阿信,阿信,3.0
fiU0EYJJ1IKCClsg7Pzy2f5eGABiXyJQvRJej05Mje8=,273353.0,1609,MAGIC!,Nasri Atweh|Adam Messinger|Mark Pellizzer|Ben Spivak|Alex Tanas|Patrick Adams|Peter Brown,Nasri Atweh|Adam Messinger|Mark Pellizzer|Ben Spivak|Alex Tanas|Patrick Adams|Peter Brown,52.0
Gg2PzKoeJx4PpHthrntB/9HphX2FHUunLAKTeH0eqWw=,318484.0,465,林俊傑 (JJ Lin),林俊傑/易家揚,孫燕姿/易家揚,3.0
hj73cUwsg1abFnMvai6KQTtEhFLYAwFMQOdM8rgFMcY=,219846.0,465,Pia Toscano,,,52.0
vLvRGCAj8JzTLygSB20eqIL6hSTzE7gf4hyYAguZp0k=,256313.0,458,周杰倫 (Jay Chou),周杰倫,方文山,3.0
edL/zcswP79wI9OCATw1D58JoxzKgAX4z+T+8Xi07J8=,199830.0,465,PUFFY,,,17.0
itxXLRAtaLyj+idcWIsuKB0AEzijUgPrMhAvAKUSE2k=,239281.0,458,周杰倫 (Jay Chou),周杰倫,方文山,3.0
a9U5cQghT8at3z7Uu4zcLQI2xREgfJT8ZRBxxc9VBKc=,184685.0,1609,Valentino Khan,,,52.0
gyFetR8L8roT1u1eK3VST5dw646uwTgAxaEMWBDCBM8=,202013.0,125|95,I Am Classik,DR,,52.0
FcbwzPm3n/PP+UZAjJaKFggjPSjyZ7YyxBA7LlheYi4=,210311.0,139,John Legend,John Stephens| Blake Mills| John Ryan,John Stephens| Blake Mills| John Ryan,52.0
JP0GJixHOHSNDsjKiQY2ttQKbDmWSk35JMMfPtR06BM=,285466.0,465,陳勢安 (Andrew Tan),,,3.0
I3+YmO5NDhYni4ZlVfZLnHBDt1SPXDakHGfRw7yrrWw=,224966.0,1609,R3hab & NERVO,,,52.0
m/isEYbpDVBeNSY0fPSfhyIbLDKOiWTYMEm631aMPy8=,243716.0,921|465,Various Artists,Chang Jian Jun Wei,Chang Jian Jun Wei,3.0
w4Zku7HxtkAKl/BB8H81ZfWOXwnnmVbZBvFZeRPuRUU=,216967.0,444,BANGTAN BOYS,"Pdogg| Rap Monster| Suga| J-hope| ""hitman""bang| Do Hoon Kim",,31.0
Ba5+K9JWqAMZ7OFj42m6LcHsTetNma3yOqEK/LNauSI=,283689.0,2157,黃妃,方文良,十方,10.0
EfJnvKhjaAl7I2+OAkPzFIq/FBvBjZurEKr4VGViqj4=,203049.0,921,Baek A Yeon,Tablo| Tukutz| Conan| Roco,Tablo| Mithra| Ji Hoon| Goo Ji An,31.0
YNqK/CKCVSVM6nyGXYZdZyFwvp6U6OLGqF9wqJ4ZatI=,268701.0,458,BOXING樂團,Luwa,,3.0
jyZ94J4ZQegdb0/rVDp+pzvcgGJ9bqLQMufi257uh8M=,193747.0,444,GOT7,Daniel Kim| Defsoul| Park Ji Yeon,,31.0
r+sCvClFqTNE7HCsP5VGx/JGxFKNgbm1/9ql1xhd91E=,200881.0,1259,Flo Rida,Gottwald| Kelly| Lawrence| Levine| Mars,,52.0
reXuGcEWDDCnL0K3Th//3DFG4S1ACSpJMzA+CFipo1g=,219324.0,458,周湯豪 (NICKTHEREAL),周湯豪,周湯豪\崔惟楷,3.0
btCkJ+36PyqHVRWb91BhbR6nnfHg7/VttbVzPBgkUmY=,195744.0,465,高凌風,仲邑(李基生),白舟(周蜂),3.0
eGQfl1RkyY/DhlhwrwFOS3NgvNOkL4V5joWcLiqfVCI=,284108.0,465,Angela Aki (アンジェラ・アキ),,,17.0
bTlSHgnwaBMIKHseTFHanJ3Zr4x82ybrGkexpnxDhTY=,294086.0,458,Eric 周興哲,Eric Chou,Eric Chou| Yi-Wei Wu,3.0
