msno,city,bd,gender,registered_via,registration_init_time,expiration_date
N7ic3jaWfjCfxNnKKpowRd7TsFJCzSreUEmYkvNTEJg=,13,17,female,3,20161018,20170808
I/7+xxfzq0QxusuZpOFnNMFcOCsyJJn4poN0BzviUxA=,5,31,female,9,20110817,20171228
W1kd1SF8NJWGLE3nkqNG0ZfCOwk/+TbdLtkbJkYV0bk=,1,0,,7,20131006,20170911
P02n5jwUaew8f2s+9VFHtx0Bnzh0arcAG/G5TP6ULIY=,13,23,female,9,20150621,20170930
NmTRRLkmA+wM6xrQYS7g+QJ4ay4EF7EVHGW1KfIFDSo=,5,27,female,3,20111213,20170918
v3nM0fWVePStSJH/i6kcTc7QysG6z3DdecgYtbzeeqA=,1,0,,7,20151229,20170822
vOeGCSO7doMcmfPX8XCavfK4fhEfG89tRTts0WhUiiI=,22,42,male,9,20100122,20180407
ONuVetVO2vCpFtieb5KfdBZDlX+n8AKe4KLIR6QdvTI=,6,25,male,9,20110210,20171001
7fZu7CyedwQhYEFctQiXZ6HtyPcZyNu3oSGhPdQgW8E=,13,44,female,9,20110430,20180226
eZtZ6C/NVcHE/jSE0zPPH0Ey0s6rzcHtwnWhpm18x0I=,5,45,male,9,20091101,20180117
8S5SH6PycNC0O4Xw6mkTFHylVD609X5TfHy0uTlYOjY=,15,20,male,3,20131208,20170418
jwfhrA5cNa2eT58seDgFxk0JMsGXdHh4HtGJ6KN0bK0=,22,29,male,3,20161127,20161218
u0RIrtOfwv7celD9FULFyk+WAzd1agmviC6h4+TVGqY=,1,0,,7,20161220,20170919
hHlelPEvBTk5R8aAINP+Ss5P6SDFo1eBl63Cv1c5jwk=,13,27,male,7,20111229,20170921
e0P0xErGEtJf+gjnpUsYoweCuI/KogvLiJ+n4VLxUcQ=,5,0,female,9,20040911,20171108
zmHPReDU2yxtqElxWNm9Rd9tQ/+yJOGKhDjnvK9ebp8=,1,0,,7,20160608,20171007
VtlQxcWYozDmNZPEiam4mDRdsUDDjKNChliXwZxCX4o=,4,21,female,9,20080517,20170223
SyjIF0jiR6LetsEF7CEx48L/Prf6wRkugjYy6v02Stg=,1,0,,7,20150527,20170930
lEz6TZrXs28UPHUBNHPVR3bXRKpoJ0krWbQKQTS0h3w=,1,0,,7,20131021,20170930
FWS6y04mvOvmjBGeoCCJPGh/4r9/6R0Hc+B0CtMqmC4=,13,22,male,3,20120625,20171006
w0hjgMCrTjpzOsldfOuVfegKS4fx80BkO/6h162oOvE=,5,31,male,3,20130901,20171006
mPd9M2+bDkOvX2QgcKam6Ed1d8zXS9TpLExWcC6XCnU=,22,25,female,9,20110220,20171222
0wVAMd8n3FbinwrZf1fE3dhyk17HiOm2MNaUIjKEMvA=,1,0,,7,20150713,20170914
I6BWuX+5GHb/f6O+y9Bt97A9KrX4hzn6Tj4Ga8jz/xM=,5,23,female,9,20070918,20170924
qHG8kmYkEeX40+wnMLI20gEECevNJ5WzlODCAOHHqaI=,1,0,,7,20151026,20170930
PLLlUl6DuDKB4gz/SReLGJJUZBWKOEK6vifwVlnkIBQ=,1,0,,7,20151115,20170914
ppgdktSB0IXmKTbBFfIckiot4Wi5i8q1D+Nc9uZPSTc=,1,0,,3,20130425,20170914
L7adblTHvIzt1T6KxY1AXJra4CS+l8xHHNwUZ+UQfy8=,5,40,female,9,20100502,20171002
+boPBM5G5+vAfbO6zTy7A2FrVQyl91aBPGHkQ6ciNYc=,6,23,male,3,20140104,20171012
