song_id,name,isrc
PiF7hl2CEFM8dds1gN0JkiXetujyKnI2JTYREAn/Plw=,Never Be Like You,AUFF01500784
MbUrDuSZUHl97oQwk/GxAC+AIOxQd0wMpeBI4BU4PT8=,愛上你等於愛上寂寞 (Love You But Lonely),TWA530252602
x0AQuGp6SHvaD/fLkk+6JzAp6zOUgd30Tx4oL3YBz5Y=,Rockabye,GBAHS1600363
+SstqMwhQPBQFTPBhLKPT642IiBDXzZFwlzsLl4cGXo=,好愛好散 (Blue Love Theme),TWA531658601
4MisMKfKs26kWvzPwqJMnqqoeNfOlsfiiFswvWIQOUI=,GIRLFRIEND,HKI491600381
aNX1pG05HuUlyb1P44hm1x1AFhtaVLQ8eJOsUl4jX6w=,說說,TWA270905004
bv8cPcRcYLf33G0xbcB5EQjcQXfUu2NbkrSwJvASgxg=,仝款的月娘,TWH951600107
kBAJcnQ60tymSP17qGf4s/6pL5sGFvecaLbWQyMEHek=,Unusual Changes Of Two,JPPO01618958
agGR8vgxkb16CHKHSB3X0AojD17gek1DCtKNdCNkrnc=,Back 2 U,USUS11600228
3YFJNODi3zUy4qTS8mEjzMO3xFmgjmVXoU2/L02K8iA=,Am I Wrong,KRA381601902
snxG0u6Opzrqttfgdsj6297r0pA9hcUheJCoI4vafp4=,In Your Eyes,TWA470915002
1/6zP3ufTjnx2EI+x2TwBTFFFXYS81/rWKJpYEj0WV4=,等一個人到老 (I'm Still Here),TWD631518203
9Xxvd9J4SpEakcmoYTvt+ekTW15btrc+DKumBSTJZU0=,我懷念的,TWA270614010
NiB1rjgfCjp1wsvM5tpOYuT1sA9no8wfDqwE8SSbIhI=,一剪梅,MYHY11500794
96/kcV3grOwsUat72s1DVKHYJBfA6fp1TPrP4NOhLSo=,24K Magic,USAT21602944
HijjTJPE28aMZ19+/84C5uMjaL+gGdJYmZMr+sHuQT0=,Smells Like Teen Spirit,USGF19942501
lZINgCGFjqzcGUliQEbEXtfpnbLTkxjxav77pkhd7lA=,那個男人 - 白智英,KRA031001034
A0t3F/l/3A5UvyPnNQNkrwJuW4vH7f/ttZZ9ud7eWx8=,Cold Water,QMUY41600027
14hLmlYzFripXU8dHgrLtspaQOs1caRUtFV8P+/r9iw=,暗號,TWK970200303
opfHqJ0Oz4KsSqM5/TqBERkLI9DFnMD0Jywzh7XSE6Y=,可不可以你也剛好喜歡我,
jkL7wLqdqv1/+4Hm/R3jFSUH6b8momZh73a2a/FWGic=,Do You Remember The First Time?,GBAAN9400020
ucAsZ2NApZcvzFyhH1himmmRjDJZivc9n2SIX5S/KWs=,家後,TWI431603229
0u5diiI/25AqwBAAfmwWKBfTLkS2+NHaYcROpdptSwA=,Too Good To Say Goodbye,USAT21602953
voTXRxASIKEs/R4+7kGA4P4MtGTL2b8GkVVfD1kyRyw=,說你愛我,
8EdECvVretxSqnhGUYVAZd3g3DH5l47NRq1eYSP3TRo=,Drunk in Love (Explicit Version),USSM11307800
+Sm75wnBf/sjm/QMUAFx8N+Ae04kWCXGlgH50tTeM6c=,迷途羔羊,TWA451699902
HlDqTqryhj7F+2LHT95z1JusVZuLRoNoZu4kY1t0Yac=,寶貝,HKUM71000574
